Total_n,Quantile,Threshold,n_exceedances,mean,std,skewness,kurtosis,L1,L2,tau3_Lskewness,tau4_Lkurtosis,GPD_shape_Lmoment,GPD_scale_Lmoment,GPD_shape_MLE,GPD_scale_MLE,AD_stat_Lmoment,Bootstrap_pval_Lmoment,AD_stat_MLE,Bootstrap_pval_MLE,LogL_Lmoment,LogL_MLE,AIC_Lmoment,BIC_Lmoment,AIC_MLE,BIC_MLE,Ticker,Sector,Name
5215,0.99,0.07104840418467981,53,0.03334969014906555,0.040151277664382645,3.566698938095759,20.019412644085836,0.033349690149065546,0.017647712897119392,0.39649846423390045,0.2610593706005816,0.13569323386664509,0.028436341320633107,0.12199333176818028,0.029191474691296217,0.5347423922127703,0.698,0.5084228519432514,0.728,127.8198910756901,127.82935959539914,-251.6397821513802,-247.69919832427595,-251.65871919079828,-247.71813536369405,017670.KS,Communication_Services,SK Telecom
5185,0.0,0.0,5185,0.024933292733094116,0.025699073411453766,2.8363076013508937,14.88678095188613,0.02493329273309411,0.011886407016444006,0.367045143550471,0.23990446800092977,0.07398104673320836,0.021199764160695512,0.020499397331008595,0.02442024516392443,113.62992789245254,0.0,67.5808033560088,0.0,13927.658075102168,13957.300832626534,-27851.316150204337,-27838.20909996301,-27910.601665253067,-27897.49461501174,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.5,0.01776243146880983,2592,0.023135066441395277,0.02804294130492144,2.7136963040037028,12.604506833475218,0.02313506644139528,0.012734183335445775,0.4264363061277656,0.2464118741603797,0.19580889604634,0.018476210427381026,0.18780557941176051,0.01883376837207216,0.9450767680932586,0.394,0.7389261334783441,0.514,7216.667922500298,7216.87089678844,-14429.335845000596,-14417.615474885652,-14429.74179357688,-14418.021423461936,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.55,0.019909327669853108,2333,0.023437046865808626,0.02852453882328715,2.65809496539683,12.08476498031003,0.023437046865808626,0.012992778608571594,0.42734936567960113,0.2456210185123053,0.1976027059811753,0.018790659393243817,0.19890866942026764,0.018841961359849422,0.5408246868887545,0.746,0.5389684852621031,0.724,6468.87866551612,6468.8920845114035,-12933.75733103224,-12922.247510488198,-12933.784169022807,-12922.274348478764,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.6,0.022305771113305724,2074,0.023822382693861333,0.029077360782610844,2.5911466146760125,11.49939674501743,0.023822382693861333,0.013304431796927928,0.4266520860017971,0.24532268420991554,0.19623302748602908,0.0192888758936752,0.21066433780446836,0.01889978975638283,1.138795506457427,0.282,0.8771251669049889,0.41,5719.723880022097,5719.912385151998,-11435.447760044193,-11424.173291266614,-11435.824770303996,-11424.550301526417,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.65,0.02469239292259687,1815,0.0246795404282551,0.029695477910907563,2.514998725491272,10.860076433932566,0.024679540428255098,0.013657002046223648,0.4265297060372702,0.2450851585701148,0.19599249628560203,0.019808601543901936,0.19567026723503428,0.019930355491300854,0.8147066837086641,0.458,0.8121282112729205,0.488,4936.4324175755755,4936.455091474351,-9868.864835151151,-9857.857153657753,-9868.910182948703,-9857.902501455304,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.7,0.027845969855119515,1556,0.025386562438457792,0.03039752668252557,2.4262693348792026,10.15080979008631,0.025386562438457792,0.014062385759534777,0.42827134970522784,0.24218953096902573,0.19941172185135858,0.020271349105392775,0.19741473549502705,0.02047104144503887,0.7961685766617848,0.484,0.7931316318356494,0.494,4187.632798400107,4187.67173392008,-8371.265596800215,-8360.565849390738,-8371.34346784016,-8360.643720430684,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.75,0.03200281592933252,1296,0.025943103987010916,0.031243062034546305,2.31283528973271,9.322605053891518,0.025943103987010916,0.014581788825697333,0.42900603419654415,0.23489721316251014,0.20085156795786938,0.020965501284506416,0.22226178501822505,0.020347164891727228,1.3479198709296725,0.224,0.923946685077226,0.4,3463.302362325485,3463.5414624288514,-6922.60472465097,-6912.270648897145,-6923.082924857703,-6912.7488491038785,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.8,0.03689796240996853,1037,0.02700777977864031,0.03227540702247825,2.1636111611017195,8.3503775777771,0.027007779778640315,0.015274048258618037,0.4258956249265425,0.22061281817393305,0.19474558300431916,0.022203717360833472,0.23298950389048934,0.02095451594969191,2.0618290292707115,0.1,0.9538604160047726,0.398,2729.123883950875,2729.7763819943266,-5454.24776790175,-5444.359593485291,-5455.552763988653,-5445.664589572194,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.85,0.04293704887135257,778,0.029057831511674764,0.033549895932275066,1.958429554464754,7.197892369230132,0.029057831511674757,0.01624383194833652,0.41189918412427806,0.19649298193998443,0.16693653132112557,0.024805276963358148,0.20470050312299226,0.023334269523023567,2.3091401977732176,0.06,1.238045372522265,0.258,1985.8411629639486,1986.3622938349502,-3967.682325927897,-3958.3688728795405,-3968.7245876699003,-3959.4111346215436,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.9,0.052042213844522414,519,0.032309094527972086,0.03500434058942937,1.6642679498899593,5.8590586159635984,0.03230909452797208,0.017592840988144984,0.3747919507768558,0.1514421993508024,0.0904688540402685,0.030554860090518027,0.12968722497890361,0.028232341130084528,3.2712485293826603,0.012,1.8991356250190847,0.088,1264.501394163043,1265.0909282395257,-2525.002788326086,-2516.4989805597543,-2526.1818564790515,-2517.67804871272,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.95,0.07053677620762878,260,0.03791011172782654,0.03541357949576318,1.2149723699901003,4.586781288731513,0.03791011172782653,0.01889799771382236,0.2670078468478781,0.04819524378747821,-0.15704437817917916,0.04716554844874801,-0.09959942920454118,0.04173123328174953,4.297840581875278,0.008,2.7373140061087042,0.036,590.751445814149,591.7912126815545,-1177.502891628298,-1170.3815283662668,-1179.582425363109,-1172.461062101078,017800.KS,Heavy_Industries,Hyundai Elevator
5185,0.99,0.14644170721614272,52,0.019905499808364403,0.022698563088291514,3.1946045961744396,13.522904431117796,0.019905499808364393,0.008408881708500548,0.5435296696458848,0.5630952977571441,0.40853701832781963,0.007915208375217446,0.07834366980526308,0.018305679937611077,17.779811646059585,0.0,6.159910350525678,0.0,141.49201540362407,151.9521855652939,-278.98403080724813,-275.0815433700853,-299.9043711305878,-296.00188369342493,017800.KS,Heavy_Industries,Hyundai Elevator
2183,0.0,0.0,2183,0.01697808440266979,0.01576348542315203,3.3384261430041664,24.176283026419675,0.01697808440266979,0.007342938358180911,0.3217338324883707,0.22589918853994587,-0.02632791994843198,0.015270939422720772,-0.03340331916643914,0.017532143206518337,93.34175632128472,0.0,60.185531983981946,0.0,6696.48091089883,6717.284966317824,-13388.96182179766,-13377.584911084561,-13430.569932635648,-13419.193021922549,018260.KS,IT,Samsung SDS
2183,0.5,0.012808948741686923,1091,0.014090664779132752,0.016943055671342345,3.707310559437692,25.162658757531528,0.014090664779132752,0.0074442737808462014,0.40476531985044184,0.24098097564131749,0.1525492952617455,0.011654929239951711,0.12835977804107782,0.012252854902311447,2.047013248246685,0.08,1.0032294746317802,0.352,3570.793348652885,3571.451003620793,-7137.58669730577,-7127.596997334103,-7138.902007241586,-7128.91230726992,018260.KS,IT,Samsung SDS
2183,0.55,0.014347477504967985,982,0.014036222216320993,0.01722976315907159,3.7095916532132356,24.7776599093656,0.014036222216320992,0.007535948641331794,0.4111356311525503,0.2425571770360844,0.1654035858105397,0.01153864959124988,0.1489207734171257,0.01191989843049699,1.0174773015357914,0.316,0.6228516187355808,0.614,3221.344727869905,3221.585209357502,-6438.68945573981,-6428.910273123101,-6439.170418715004,-6429.391236098296,018260.KS,IT,Samsung SDS
2183,0.6,0.01585896545138463,873,0.014192535657861174,0.017574124876455873,3.7016635822255775,24.248970256147057,0.014192535657861176,0.007654617386674465,0.41754105858788343,0.24281185520729062,0.1782122459403799,0.011459902726057222,0.15657316160589954,0.011944062088277713,1.1784453819133205,0.284,0.6826292873136026,0.566,2855.233784651898,2855.5762196098403,-5706.467569303796,-5696.923698192117,-5707.152439219681,-5697.608568108001,018260.KS,IT,Samsung SDS
2183,0.65,0.017595642934694646,764,0.014350656496286009,0.018003441662705625,3.674949407182282,23.50233819030584,0.014350656496286005,0.007822486375405951,0.42121404933555556,0.24229721526060113,0.18550488445419205,0.01156083234453716,0.1712134738703382,0.011871549003661145,0.7750432479937217,0.488,0.5930942049374153,0.654,2492.3869577508926,2492.5070694760016,-4980.773915501785,-4971.496779923452,-4981.014138952003,-4971.73700337367,018260.KS,IT,Samsung SDS
