Ticker,Quantile,Threshold,MRL,NumExceedances
000080.KS,0.67,0.0179776489370982,0.015753057224652384,1283
000080.KS,0.68,0.01839899844750496,0.015819075451688997,1244
000080.KS,0.6900000000000001,0.018868439451152817,0.015854396175093984,1205
000080.KS,0.7000000000000001,0.0192932612499729,0.015952357574043848,1166
000080.KS,0.7100000000000001,0.019676380986676567,0.016114239809318084,1127
000080.KS,0.72,0.02010888324937004,0.016251858679552752,1088
000080.KS,0.73,0.02050731082293485,0.016449441074873162,1049
000080.KS,0.74,0.021043189214561657,0.016523479581437805,1011
000080.KS,0.75,0.021506138460684724,0.016714721120272752,972
000080.KS,0.76,0.02210158835638908,0.016806540986318654,933
000080.KS,0.77,0.022619670248761797,0.01701199149845348,894
000080.KS,0.78,0.023365613379246943,0.017026615024255145,855
000080.KS,0.79,0.024009515471718597,0.0171804664574737,816
000080.KS,0.8,0.0246605960793494,0.01737585386161156,777
000080.KS,0.81,0.025439349257317997,0.01747252591066464,739
000080.KS,0.8200000000000001,0.02644789706189517,0.01740702939883895,700
000080.KS,0.8300000000000001,0.027457602765152012,0.01739921487207371,661
000080.KS,0.8400000000000001,0.028376135447990548,0.017544193894982844,622
000080.KS,0.85,0.029194121185513823,0.017868456102717797,583
000080.KS,0.86,0.030381427230594817,0.01792265821766802,544
000080.KS,0.87,0.0314150517413859,0.01820430751404902,506
000080.KS,0.88,0.032576262923613444,0.01850929485206727,467
000080.KS,0.89,0.033901393781898874,0.018819159396958506,428
000080.KS,0.9,0.034824666681471106,0.019742425342270855,389
000080.KS,0.91,0.03636758176423956,0.02030173783993878,350
000080.KS,0.92,0.03813488254835873,0.02096120132735602,311
000080.KS,0.93,0.04014249947090964,0.021815880927531922,272
000080.KS,0.9400000000000001,0.04322324883265313,0.022043566757439122,234
000080.KS,0.9500000000000001,0.0463661385307756,0.023002810176014254,195
000080.KS,0.9600000000000001,0.05017831314348104,0.024544914687133643,156
000080.KS,0.97,0.05617672675885948,0.025978224201619604,117
000080.KS,0.98,0.06445315581373519,0.028779943274123462,78
000080.KS,0.99,0.08191825107132764,0.03244696930244248,39
000100.KS,0.01,5.139183020415244e-08,0.01823146700550697,5404
000100.KS,0.02,1.240210982213008e-07,0.018418855365802844,5349
000100.KS,0.03,0.0014372842547331298,0.017166806400815512,5295
000100.KS,0.04,0.0019460518210959279,0.016835644686235697,5240
000100.KS,0.05,0.00231217920869551,0.016642967610667633,5186
000100.KS,0.060000000000000005,0.002676906529678994,0.016454499429819337,5131
000100.KS,0.06999999999999999,0.0028951348153567376,0.016413158414321137,5076
000100.KS,0.08,0.003139701423354404,0.016343679844721057,5022
000100.KS,0.09,0.003367074916848606,0.01629599465391668,4967
000100.KS,0.09999999999999999,0.0036818757050413402,0.016158957005393146,4913
000100.KS,0.11,0.004079931935386438,0.015941545818051343,4858
000100.KS,0.12,0.004434075802883352,0.015764263496718136,4804
000100.KS,0.13,0.004813960284893325,0.01556515154659409,4749
000100.KS,0.14,0.0051243906460079125,0.015434975546173313,4694
000100.KS,0.15000000000000002,0.005433386641732191,0.015303649316480143,4640
000100.KS,0.16,0.005697973526088096,0.015220990447179141,4585
000100.KS,0.17,0.005863903268674516,0.015235411985213833,4531
000100.KS,0.18000000000000002,0.00608439509049192,0.015200885890825496,4476
000100.KS,0.19,0.006430795501750106,0.015041400144671074,4421
000100.KS,0.2,0.0066993482636699,0.014956997444773704,4367
000100.KS,0.21000000000000002,0.006897960984085168,0.014947841690949768,4312
000100.KS,0.22,0.007142904429254917,0.014891031669120003,4258
000100.KS,0.23,0.00751367030397617,0.014712504287444141,4203
000100.KS,0.24000000000000002,0.0077453047329974385,0.014670871210661917,4149
000100.KS,0.25,0.00796832737317845,0.014643320628345492,4094
000100.KS,0.26,0.008186126167633232,0.014623204004814495,4039
000100.KS,0.27,0.008438771546138863,0.014567068355905318,3985
000100.KS,0.28,0.008633007709932975,0.014575236395190374,3930
000100.KS,0.29000000000000004,0.00886175947605685,0.014548088406714914,3876
000100.KS,0.3,0.0090704509991403,0.014547155342972694,3821
000100.KS,0.31,0.009323636892733165,0.014500673445534898,3767
000100.KS,0.32,0.009670663744900923,0.014366174740779763,3712
000100.KS,0.33,0.009984506528987705,0.014265685093331426,3657
000100.KS,0.34,0.010271724043776465,0.014190110590692123,3603
000100.KS,0.35000000000000003,0.01047131062938935,0.014209190869794622,3548
000100.KS,0.36000000000000004,0.010743140135417351,0.014154615209326997,3494
000100.KS,0.37,0.01099315375736966,0.014128985384284991,3439
000100.KS,0.38,0.011215381264187852,0.014134682774278519,3384
000100.KS,0.39,0.011454824637721,0.014126723551690314,3329
000100.KS,0.4,0.011696036839941599,0.014116631251217968,3275
000100.KS,0.41000000000000003,0.011988740422698848,0.01405798499121341,3221
000100.KS,0.42000000000000004,0.012338883254627482,0.013949038030295366,3166
000100.KS,0.43,0.01260988648526539,0.013917618533127398,3112
