quantile,threshold,tau3_emp,tau4_emp,tau4_theory,error,Ticker,Name,Sector
0.63,0.02581185873901855,0.40122161505895265,0.22343021026302332,0.22330421207839293,3.183719120686821e-07,011790.KS,SKC,Energy_Chemicals
0.5700000000000001,0.022685538217592276,0.4014920508550994,0.2238287040779253,0.2235440456055315,1.6215189039579328e-06,011790.KS,SKC,Energy_Chemicals
0.5800000000000001,0.02307533755806401,0.40210190141941204,0.22347691200701014,0.22408529478625264,7.371011855761149e-06,011790.KS,SKC,Energy_Chemicals
0.62,0.025317729193644178,0.40182947544007896,0.22312643528487286,0.22384344370734055,1.0260292865513331e-05,011790.KS,SKC,Energy_Chemicals
0.64,0.026267930349236572,0.4005691878591764,0.2238573998862753,0.22272607151743468,2.580092290496471e-05,011790.KS,SKC,Energy_Chemicals
0.74,0.02651047628275536,0.43747745918787523,0.2552036849223177,0.2564442990598687,2.3403852596477884e-05,012330.KS,Hyundai Mobis,Consumer_Discretionary
0.73,0.025772615421961957,0.43473180192935945,0.2565417613230594,0.2538654252420149,0.00011114097037395199,012330.KS,Hyundai Mobis,Consumer_Discretionary
0.75,0.0272156051502608,0.4393514409381507,0.25380284171294276,0.25821090978597566,0.00029143882647332455,012330.KS,Hyundai Mobis,Consumer_Discretionary
0.72,0.025317796184063487,0.4320800269074072,0.25730655499629157,0.25138543033328037,0.0005547894612540404,012330.KS,Hyundai Mobis,Consumer_Discretionary
0.76,0.027872188724260914,0.44091402218672643,0.2520514744183368,0.25968796625520746,0.0008647371821543648,012330.KS,Hyundai Mobis,Consumer_Discretionary
0.79,0.03390151240490999,0.4155913656241524,0.23602698743824999,0.23620177283879432,5.475754923825889e-07,012450.KS,Hanwha Aerospace,Industrials
0.87,0.042383857866184205,0.4120626074013483,0.23317936904895661,0.23300553984146113,5.565613026879119e-07,012450.KS,Hanwha Aerospace,Industrials
0.86,0.04112944745189313,0.4124100020477523,0.233006761322909,0.2333193624494647,1.7950622569554532e-06,012450.KS,Hanwha Aerospace,Industrials
0.88,0.04367505066531572,0.4124803580744806,0.23293200017704813,0.23338294155216527,3.73337788834385e-06,012450.KS,Hanwha Aerospace,Industrials
0.85,0.04014455072147713,0.4135424118018251,0.2326026022736266,0.234343604814196,5.5194092527834794e-05,012450.KS,Hanwha Aerospace,Industrials
0.91,0.03832141476113589,0.4382478809082048,0.2572725026232081,0.25716994464719073,1.5903710448656148e-07,012750.KS,S-1,Industrials
0.9,0.036633946105969345,0.43374637053477105,0.2584602212022509,0.25294260102904637,0.0004758385696702172,012750.KS,S-1,Industrials
0.89,0.03538874015737507,0.43174146049841267,0.2572260011354705,0.2510695536565153,0.0006012737673405924,012750.KS,S-1,Industrials
0.92,0.04005577151205263,0.4421071227470362,0.2538291084166509,0.26081821446191483,0.0007180710620563073,012750.KS,S-1,Industrials
0.88,0.03419119766889178,0.4296115006350216,0.25619369353253796,0.2490862758534791,0.0008141868382981916,012750.KS,S-1,Industrials
0.76,0.0317487329452286,0.43919534506904423,0.25997507845697043,0.2580635575063742,5.4866185166904114e-05,014680.KS,Hansol Chemical,Energy_Chemicals
0.77,0.03256496659754715,0.44235490238455466,0.25826923046116634,0.261053206963828,0.00011372948310724169,014680.KS,Hansol Chemical,Energy_Chemicals
0.75,0.0310446039903326,0.43544586761617055,0.26122932867132054,0.2545350316114796,0.0006916953168302077,014680.KS,Hansol Chemical,Energy_Chemicals
0.78,0.03341606876886004,0.44491898151188786,0.25608143532160893,0.26349032684071233,0.0007906369726085364,014680.KS,Hansol Chemical,Energy_Chemicals
0.74,0.03039432690615209,0.4320751790724516,0.261702182825169,0.25138090617480646,0.0016857853023911908,014680.KS,Hansol Chemical,Energy_Chemicals
0.42000000000000004,0.016004468984774162,0.41309127610773005,0.2340849925382037,0.23393532890874022,4.0929922111764057e-07,014820.KS,Dongwon Systems,Steels_Materials
0.43,0.016374111310223732,0.4134857783471965,0.23386137394524328,0.23429233487547285,3.38344903507524e-06,014820.KS,Dongwon Systems,Steels_Materials
0.44,0.01680737718009577,0.41372918637153705,0.23368426127637149,0.2345127251370193,1.2479992083539665e-05,014820.KS,Dongwon Systems,Steels_Materials
0.41000000000000003,0.015596688614678927,0.4125751254039283,0.2343324459540404,0.23346859242345566,1.369062564064848e-05,014820.KS,Dongwon Systems,Steels_Materials
0.45,0.0171508866546786,0.41378035048524137,0.23359442845143194,0.23455906233984347,1.6912997951730266e-05,014820.KS,Dongwon Systems,Steels_Materials
0.9,0.03247655463158024,0.46668446776569983,0.28723306402941085,0.2845703715309342,8.755131384696535e-05,015760.KS,KEPCO,Consumer_Staples
0.91,0.03357753506751906,0.4706105820939335,0.28544866947416236,0.2884471775696926,0.00010806320995234084,015760.KS,KEPCO,Consumer_Staples
0.89,0.03141617940550254,0.46422897001288255,0.28709412026984654,0.28215721952174283,0.00030614449779353144,015760.KS,KEPCO,Consumer_Staples
0.88,0.03033304898088494,0.46209989063450735,0.28636428435481526,0.2800720356432218,0.0005047452783790288,015760.KS,KEPCO,Consumer_Staples
0.93,0.03672697822715318,0.46988758765191413,0.27766904168774825,0.2877315644203593,0.0012230345759621883,015760.KS,KEPCO,Consumer_Staples
0.8400000000000001,0.03269154239453102,0.42403493967089634,0.2442971986245769,0.24392598954380568,2.3159065573153987e-06,016360.KS,Samsung Securities,Financials
