,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,017670.KS,017670.KS,017670.KS,017670.KS,017670.KS,036570.KS,036570.KS,036570.KS,036570.KS,036570.KS,035420.KS,035420.KS,035420.KS,035420.KS,035420.KS,032640.KS,032640.KS,032640.KS,032640.KS,032640.KS,352820.KS,352820.KS,352820.KS,352820.KS,352820.KS,251270.KS,251270.KS,251270.KS,251270.KS,251270.KS,030000.KS,030000.KS,030000.KS,030000.KS,030000.KS,259960.KS,259960.KS,259960.KS,259960.KS,259960.KS,035720.KS,035720.KS,035720.KS,035720.KS,035720.KS,030200.KS,030200.KS,030200.KS,030200.KS,030200.KS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,27170.814453125,28399.96893478354,26588.582202018824,28270.58448867307,1242973.0,,,,,,,,,,,,,,,,,,,,,,,,,,2912.840576171875,3218.3832939521417,2892.47106165319,3218.3832939521417,1465000.0,,,,,,34582.94140625,36650.39985988451,33549.21217943274,35898.596785835594,1387000.0,34496.03515625,36482.71780922775,33773.605100621724,35940.895267506545,1705800.0
2000-03-01,27170.814453125,27170.814453125,27170.814453125,27170.814453125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2912.840576171875,2912.840576171875,2912.840576171875,2912.840576171875,0.0,,,,,,34582.94140625,34582.94140625,34582.94140625,34582.94140625,0.0,34496.03515625,34496.03515625,34496.03515625,34496.03515625,0.0
2000-03-02,30728.892578125,31246.432553671035,27817.736105151693,31246.432553671035,1491568.0,,,,,,,,,,,,,,,,,,,,,,,,,,3340.60107421875,3340.60107421875,3075.797330530678,3157.2754055116234,2230000.0,,,,,,33737.16015625,36650.39682712396,32515.480262012537,35710.64306232591,1545000.0,38830.61328125,39553.04329578488,34676.64069767442,35760.28571947675,2053200.0
2000-03-03,30405.4296875,31505.19954607378,29118.05151481223,30405.4296875,914473.0,,,,,,,,,,,,,,,,,,,,,,,,,,3187.82958984375,3381.3400122304315,3157.2753126248003,3340.6009759384983,857500.0,,,,,,29696.21875,31011.87401107595,29696.21875,29696.21875,3083500.0,39733.65625,41178.51647727273,38469.40355113636,40817.30142045455,1522600.0
2000-03-06,31117.046875,31375.815730609494,30405.43027846515,30703.01580858131,741344.0,,,,,,,,,,,,,,,,,,,,,,,,,,3065.612060546875,3320.231002452761,3055.42730287064,3218.383425690407,997500.0,,,,,,27628.7578125,31481.74784757653,26689.00414540816,31011.87101403061,2384500.0,40817.29296875,41900.93791482301,40275.470495713496,41539.72293279867,1066900.0
2000-03-07,30599.513671875,31569.899338132407,30146.668074639176,31569.899338132407,732466.0,,,,,,,,,,,,,,,,,,,,,,,,,,3330.41552734375,3360.969798236812,3136.9051450210245,3136.9051450210245,2970000.0,,,,,,29320.318359375,29884.170635516828,25373.35242638221,26595.03235802284,2919500.0,40817.29296875,40817.29296875,37927.57311255531,39372.43304065266,761000.0
2000-03-08,30599.513671875,30599.513671875,29887.89691832377,30334.274190185628,470554.0,,,,,,,,,,,,,,,,,,,,,,,,,,3330.41552734375,3442.447853951644,3177.6441728784407,3330.41552734375,1135000.0,,,,,,30072.123046875,31387.778430175786,27628.763049316407,27816.71381835937,3829000.0,40817.29296875,41539.72293279867,38288.78809457964,38288.78809457964,811500.0
2000-03-09,28464.6640625,30813.00052475417,28464.6640625,30761.244946141385,1673574.0,,,,,,,,,,,,,,,,,,,,,,,,,,3707.25244140625,3788.730517041553,3381.3401388650414,3422.0791766826924,2000000.0,,,,,,33643.18359375,33643.18359375,29132.36568173883,30823.92239874302,3285500.0,39372.44921875,43165.208088446096,39372.44921875,42623.38539277523,1907600.0
2000-03-10,29435.044921875,29680.874886780308,28788.120537142437,29435.044921875,932230.0,,,,,,,,,,,,,,,,,,,,,,,,,,3635.95849609375,3798.91461916798,3615.588980709472,3798.91461916798,880000.0,,,,,,33267.28515625,36838.34966454802,31763.679047492937,34770.89126500706,4028500.0,39011.21875,40997.90118634259,38650.00376157407,40817.29369212963,931500.0
2000-03-13,27817.7421875,28529.35672450817,27170.817637519634,27888.9027437571,794615.0,,,,,,,,,,,,,,,,,,,,,,,,,,3401.708984375,3686.882192645959,3259.122380239521,3666.512677769461,875000.0,,,,,,29508.26953125,33831.13704219745,29320.31876990446,33267.28475816083,2403500.0,36085.37890625,38288.790431056055,35760.285402590096,38108.182929022776,1136900.0
2000-03-14,26666.203125,27623.64945511188,25941.64781141858,25941.64781141858,577094.0,,,,,,,,,,,,,,,,,,,,,,,,,,3198.014404296875,3401.709589283937,3096.166811803344,3401.709589283937,1447500.0,,,,,,27346.837890625,29132.370261490552,26501.05939916237,26876.96095092354,2162500.0,35326.8359375,35940.90159285532,34676.648773006134,35399.0789557771,835200.0
2000-03-15,25876.96875,26517.422736008983,24654.282439867828,26071.045443504623,1131993.0,,,,,,,,,,,,,,,,,,,,,,,,,,3320.231689453125,3432.2640470727088,3198.014572049942,3218.38409161714,1015000.0,,,,,,26782.982421875,28944.41609100877,25185.40101425439,26313.105537280702,3103500.0,33954.21484375,34676.64494680851,33231.78474069149,34351.55140043218,951800.0
2000-03-16,26523.884765625,26912.03802766389,25230.03607161151,26109.85372200675,967743.0,,,,,,,,,,,,,,,,,,,,,,,,,,3157.27490234375,3391.5243305821573,3096.166355846774,3259.1224798387098,987500.0,,,,,,27628.7578125,29790.191246811224,26031.17657844388,27252.856345663266,5300500.0,35037.859375,35399.07442010309,34062.57875322165,34532.15831185567,934100.0
2000-03-17,26782.66015625,28464.66252360882,26717.967930090752,27170.815756814656,1096480.0,,,,,,,,,,,,,,,,,,,,,,,,,,2984.134033203125,3320.2310403556958,2933.210244240614,3177.644431260665,820000.0,,,,,,24339.62109375,27252.85759531853,24339.62109375,26876.956111245174,1771500.0,36121.50390625,36663.32646484376,35218.46630859375,36121.50390625,1043100.0
2000-03-20,24906.578125,26523.88807234159,24576.646464969414,26135.732518302997,776858.0,,,,,,,,,,,,,,,,,,,,,,,,,,2912.840576171875,3055.4271778026664,2831.3625180971376,3014.688148765297,862500.0,,,,,,21426.3828125,23493.840803179824,21426.3828125,23493.840803179824,1413000.0,35073.98046875,36663.32664859037,35073.98046875,36121.50408728115,499600.0
2000-03-21,25864.033203125,26200.4332974683,23483.352505851453,25230.04746072011,910034.0,,,,,,,,,,,,,,,,,,,,,,,,,,3126.720458984375,3320.2308456967626,2831.3625003180982,2912.840557881209,1757500.0,,,,,,20674.580078125,22084.21053799716,18889.04816228693,19170.974254261364,3608000.0,36121.50390625,36121.50390625,33629.12013671875,34315.4287109375,884000.0
2000-03-22,25585.84765625,26394.5025981379,25359.422657123057,25359.422657123057,754662.0,,,,,,,,,,,,,,,,,,,,,,,,,,3106.35107421875,3218.383408043033,3014.6882556352457,3096.1663165983605,762500.0,,,,,,21520.361328125,23117.9427367631,21238.435197188865,21614.336705103717,3315500.0,37205.15234375,37566.36741504855,35760.292058555824,36482.72220115292,1145200.0
2000-03-23,24938.923828125,25876.96322333172,24654.27717433452,25230.0388062071,514946.0,,,,,,,,,,,,,,,,,,,,,,,,,,2872.10205078125,3136.9057859596637,2872.10205078125,3065.612472642398,1577500.0,,,,,,20674.580078125,23117.939541903408,19922.77716619318,22460.111993963063,2398000.0,37024.5390625,37385.7540777439,35760.28650914634,37205.14657012195,1017400.0
2000-03-24,24686.630859375,25424.123260964065,24583.12193368012,25294.738786552614,506067.0,,,,,,,,,,,,,,,,,,,,,,,,,,2831.363037109375,2943.3953874985946,2790.624000604204,2933.210628372302,1495000.0,,,,,,20486.630859375,21802.286052178897,19734.827892058485,21332.40919760608,1473500.0,36121.50390625,36663.32646484376,35977.017890625,36121.50390625,655100.0
2000-03-27,24149.68359375,24647.81427097885,23936.19741521653,24583.12203351042,657000.0,,,,,,,,,,,,,,,,,,,,,,,,,,2912.840576171875,2923.0253334312174,2749.8844600224,2851.732032615822,1057500.0,,,,,,21708.3125,22366.140151515152,19828.804924242424,20862.53409090909,3130000.0,35435.203125,36482.72696865443,35435.203125,36121.51185015291,622700.0
2000-03-28,23425.125,24583.119051258607,23418.656674481663,23806.810052204222,772419.0,,,,,,,,,,,,,,,,,,,,,,,,,,2912.840576171875,2953.579605209244,2861.916789875164,2861.916789875164,630000.0,,,,,,21708.3125,22460.11553030303,21426.386363636364,21802.28787878788,1361000.0,35326.8359375,36482.72422993354,35110.10688266871,35110.10688266871,820500.0
2000-03-29,25359.427734375,25456.4660775967,22648.815718777525,22965.808537412096,1305122.0,,,,,,,,,,,,,,,,,,,,,,,,,,2831.363037109375,2912.8411101197166,2810.9935188567893,2861.917314488253,560000.0,,,,,,19358.9296875,21426.388197815537,19170.97891383495,20674.58510315534,1199500.0,35651.91796875,36049.25444053951,35218.45999952508,35471.310481572946,1036800.0
2000-03-30,24654.279296875,25165.34875539508,24259.655390891043,25165.34875539508,794615.0,,,,,,,,,,,,,,,,,,,,,,,,,,2821.177978515625,3075.7969296451943,2790.623704380077,2851.732252651173,780000.0,,,,,,21614.3359375,21614.3359375,17103.518002717392,18137.24711277174,2942000.0,37385.7578125,38469.402966485504,35977.01911231884,36482.72018417874,1725300.0
2000-03-31,23289.275390625,24583.122403052806,23289.275390625,23742.121059711382,825689.0,,,,,,,,,,,,,,,,,,,,,,,,,,2790.62353515625,2953.5796539974917,2780.4387777286724,2780.4387777286724,457500.0,,,,,,19264.951171875,22929.990663109755,19170.97580030488,20956.507860137197,3278000.0,35399.06640625,37205.14122289541,35399.06640625,36482.71129623725,1158400.0
2000-04-03,21671.96484375,23677.43116473744,20572.194437795464,23619.207246934093,923351.0,,,,,,,,,,,,,,,,,,,,,,,,,,2709.145263671875,2851.731856496711,2688.775750411184,2749.8842901932567,405000.0,,,,,,18137.24609375,20204.704197700776,17235.082557480568,19734.82735589378,1846500.0,33845.84375,36121.49813233725,33231.77828175027,36121.49813233725,829700.0
2000-04-04,20384.58203125,21639.614476060884,19213.649039515447,20054.650301106823,1771237.0,,,,,,,,,,,,,,,,,,,,,,,,,,2311.940185546875,2648.0372169259363,2311.940185546875,2648.0372169259363,1272500.0,,,,,,16502.076171875,17573.395467771214,16088.584513809794,17291.46933727221,2626500.0,33845.84375,33845.84375,31859.16135272145,33231.77828175027,863900.0
2000-04-05,20384.58203125,20384.58203125,20384.58203125,20384.58203125,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2311.940185546875,2311.940185546875,2311.940185546875,2311.940185546875,0.0,,,,,,16502.076171875,16502.076171875,16502.076171875,16502.076171875,0.0,33845.84375,33845.84375,33845.84375,33845.84375,0.0
2000-04-06,19731.18359375,21154.4167882406,19601.79916581608,20371.63740946641,1052088.0,,,,,,,,,,,,,,,,,,,,,,,,,,2444.34130859375,2485.0803304036463,2138.7986450195312,2240.646199544271,3795000.0,,,,,,16765.205078125,18193.63062289798,16351.713473059135,16539.66420263453,3443000.0,32400.978515625,33520.74477424749,32400.978515625,32906.6794066158,577000.0
2000-04-07,21659.021484375,21671.958134450942,20054.648026830044,20054.648026830044,870081.0,,,,,,,,,,,,,,,,,,,,,,,,,,2668.406982421875,2729.515539271231,2444.342273974237,2444.342273974237,1615000.0,,,,,,18776.283203125,18776.283203125,17291.47201889389,17667.37358452202,2069500.0,33231.7734375,33773.59583050272,32400.9791015625,32437.100594429347,850400.0
2000-04-10,24518.4296875,24583.121924682047,22707.042559183683,23289.27493743162,1282926.0,,,,,,,,,,,,,,,,,,,,,,,,,,2607.298583984375,2770.2547454833984,2536.005263328552,2648.037624359131,1480000.0,,,,,,20956.505859375,20956.505859375,19922.77687079597,20298.67832118834,521000.0,33773.60546875,34857.25056400401,33737.483965574866,34676.643048128346,1302300.0
2000-04-11,24518.4296875,24518.429687500004,22965.81150791186,23871.505072070024,839007.0,,,,,,,,,,,,,,,,,,,,,,,,,,2505.450439453125,2709.1455971322407,2454.526650033346,2586.9285025247714,805000.0,,,,,,18795.07421875,21990.2368359375,18701.09884765625,18889.04958984375,4113000.0,33881.97265625,34243.187716551176,33412.39307785848,34243.187716551176,836600.0
2000-04-12,22642.349609375,23289.27420444421,22318.886190035668,23095.195255396826,1163067.0,,,,,,,,,,,,,,,,,,,,,,,,,,2525.820068359375,2546.1895850396927,2444.342001638105,2454.526759978264,930000.0,,,,,,18231.22265625,18795.07490335052,17667.370409149484,18231.22265625,1486500.0,33412.39453125,34243.18920608108,33376.273023648646,33593.00206925676,791800.0
