Ticker,Quantile,Threshold,tau3,tau4
000080.KS,0.9600000000000001,0.05017831314348104,0.4085798879753153,0.21213745057251784
000080.KS,0.97,0.05617672675885948,0.40399787284999816,0.18619032651431228
000080.KS,0.98,0.06445315581373519,0.36878053555172113,0.13148713304868784
000080.KS,0.99,0.08191825107132764,0.21192700467034917,-0.05605253819988736
000100.KS,0.01,5.139183020415244e-08,0.300944392989357,0.21246757577874445
000100.KS,0.02,1.240210982213008e-07,0.30589454293863333,0.212324836893958
000100.KS,0.03,0.0014372842547331298,0.3109907236321792,0.2118977542301018
000100.KS,0.04,0.0019460518210959279,0.3142318419840911,0.2125454077776181
000100.KS,0.05,0.00231217920869551,0.31715212856272984,0.21329889943326014
000100.KS,0.060000000000000005,0.002676906529678994,0.31993382262200654,0.21415154905996134
000100.KS,0.06999999999999999,0.0028951348153567376,0.32269034591755086,0.2149945421770535
000100.KS,0.08,0.003139701423354404,0.32551427393476534,0.21572223001227772
000100.KS,0.09,0.003367074916848606,0.32849631952543573,0.21635994498802233
000100.KS,0.09999999999999999,0.0036818757050413402,0.3315302403285653,0.2168733439262005
000100.KS,0.11,0.004079931935386438,0.33439538642175265,0.2174765802526406
000100.KS,0.12,0.004434075802883352,0.33694444140542473,0.21818578351331172
000100.KS,0.13,0.004813960284893325,0.33946352285308234,0.21892013820574452
000100.KS,0.14,0.0051243906460079125,0.34166870624496304,0.21981632717892974
000100.KS,0.15000000000000002,0.005433386641732191,0.3437280910752165,0.2207473259315278
000100.KS,0.16,0.005697973526088096,0.34575133938219915,0.22173370411628335
000100.KS,0.17,0.005863903268674516,0.3477994250928283,0.22266269778235537
000100.KS,0.18000000000000002,0.00608439509049192,0.35004380653773814,0.22350293984349123
000100.KS,0.19,0.006430795501750106,0.35219054029451224,0.22438016230858734
000100.KS,0.2,0.0066993482636699,0.35412832275824646,0.2253301806932679
000100.KS,0.21000000000000002,0.006897960984085168,0.35614852392747937,0.22626570193556475
000100.KS,0.22,0.007142904429254917,0.3582217268462469,0.22712064856754605
000100.KS,0.23,0.00751367030397617,0.360121371862855,0.22810060959641856
000100.KS,0.24000000000000002,0.0077453047329974385,0.3618742586423595,0.22913024175410884
000100.KS,0.25,0.00796832737317845,0.36365732417689994,0.23018654122408838
000100.KS,0.26,0.008186126167633232,0.3654718113483251,0.23123047319207923
000100.KS,0.27,0.008438771546138863,0.367326493554229,0.23221505928988057
000100.KS,0.28,0.008633007709932975,0.3692387976909943,0.2332025954714525
000100.KS,0.29000000000000004,0.00886175947605685,0.3712579942203775,0.23408319303678046
000100.KS,0.3,0.0090704509991403,0.3733527598103821,0.23494067809930025
000100.KS,0.31,0.009323636892733165,0.3755033959429441,0.23570393666576406
000100.KS,0.32,0.009670663744900923,0.3776262008321486,0.23648714832830375
000100.KS,0.33,0.009984506528987705,0.3794174872923355,0.2374382200198046
000100.KS,0.34,0.010271724043776465,0.381081606532953,0.2384249542613462
000100.KS,0.35000000000000003,0.01047131062938935,0.3828297352850684,0.23940447564120268
000100.KS,0.36000000000000004,0.010743140135417351,0.38448826432253713,0.2403979010797751
000100.KS,0.37,0.01099315375736966,0.38618884317499574,0.2414075657777288
000100.KS,0.38,0.011215381264187852,0.3879590220836877,0.24238006498443215
000100.KS,0.39,0.011454824637721,0.38978428382550023,0.24331600835063483
000100.KS,0.4,0.011696036839941599,0.3916851779453313,0.24416124114163285
000100.KS,0.41000000000000003,0.011988740422698848,0.3935016771107556,0.24503430834287562
000100.KS,0.42000000000000004,0.012338883254627482,0.3951862828705504,0.24600331482262602
000100.KS,0.43,0.01260988648526539,0.3966332396133889,0.24707844666473
000100.KS,0.44,0.012837003117898,0.3982446631713064,0.24815092071847458
000100.KS,0.45,0.013094295118735869,0.39982379326238515,0.24918050849887352
000100.KS,0.46,0.01335433972205299,0.40141576181480043,0.2502123159375691
000100.KS,0.47000000000000003,0.013605699846999664,0.40307906039202884,0.2512475645835263
000100.KS,0.48000000000000004,0.01385426781944494,0.40475784753430555,0.25224198587560287
000100.KS,0.49,0.014134587551369376,0.4066571968104204,0.2531425323517541
000100.KS,0.5,0.0144349391680634,0.40848252962873227,0.2540622840458292
000100.KS,0.51,0.014814967340863395,0.41011308225987525,0.2550402323319562
000100.KS,0.52,0.015037890566373533,0.4116483221134504,0.2561143663803085
000100.KS,0.53,0.015306678945587075,0.4133732930639464,0.25705494857952016
000100.KS,0.54,0.015638542852579262,0.41512190045902037,0.25800620842126354
000100.KS,0.55,0.0160003141266283,0.41659545396445924,0.2591032100104457
000100.KS,0.56,0.01629846107868425,0.41787542558151586,0.2603046038069185
000100.KS,0.5700000000000001,0.016620825560213753,0.4191630440133284,0.2615868742802376
000100.KS,0.5800000000000001,0.016915478991736108,0.4203228258283041,0.26296422847868084
000100.KS,0.59,0.017156238636941656,0.4216892328455253,0.2643459167907569
000100.KS,0.6,0.01745800466258846,0.4233408917780234,0.2655804537392116
000100.KS,0.61,0.01781211747234146,0.42506935663878287,0.2668370627638606
000100.KS,0.62,0.01815746821244824,0.42674778716792305,0.2681085508242436
000100.KS,0.63,0.018518899510328667,0.4282938596523342,0.2695304297407685
000100.KS,0.64,0.01883296184348041,0.42992959074160014,0.27096479178657573
000100.KS,0.65,0.019205857996103394,0.4317402852954358,0.2723076648420082
000100.KS,0.66,0.019646881360860954,0.4334790153936614,0.2737613622484979
000100.KS,0.67,0.020053217789412804,0.4350294867897061,0.2753387326232216
000100.KS,0.68,0.0203689332603605,0.43651893689757854,0.27710397761210054
