Ticker,Quantile,Threshold,tau3,tau4
000100.KS,0.03,0.0014372842547331712,0.3109907236321791,0.21189775423010176
000100.KS,0.04,0.0019460518210959563,0.3142318419840909,0.21254540777761796
000100.KS,0.05,0.0023121792086955905,0.3171521285627298,0.2132988994332601
000100.KS,0.060000000000000005,0.002676906529679049,0.31993382262200626,0.2141515490599613
000100.KS,0.06999999999999999,0.002895134815356783,0.3226903459175505,0.2149945421770535
000100.KS,0.08,0.0031397014233544274,0.32551427393476556,0.21572223001227767
000100.KS,0.09,0.003367074916848653,0.32849631952543584,0.21635994498802244
000100.KS,0.09999999999999999,0.0036818757050413728,0.33153024032856526,0.21687334392620056
000100.KS,0.11,0.004079931935386487,0.3343953864217524,0.2174765802526406
000100.KS,0.12,0.004434075802883364,0.33694444140542473,0.2181857835133116
000100.KS,0.13,0.004813960284893372,0.33946352285308223,0.21892013820574457
000100.KS,0.14,0.005124390646007965,0.34166870624496304,0.21981632717892965
000100.KS,0.15000000000000002,0.005433386641732242,0.3437280910752164,0.2207473259315279
000100.KS,0.16,0.0056979735260881655,0.3457513393821993,0.2217337041162834
000100.KS,0.17,0.005863903268674529,0.3477994250928283,0.22266269778235534
000100.KS,0.18000000000000002,0.006084395090491987,0.3500438065377381,0.2235029398434914
000100.KS,0.19,0.006430795501750194,0.35219054029451224,0.22438016230858743
000100.KS,0.2,0.006699348263669963,0.35412832275824646,0.22533018069326807
000100.KS,0.21000000000000002,0.006897960984085226,0.3561485239274795,0.2262657019355649
000100.KS,0.22,0.007142904429255001,0.35822172684624654,0.22712064856754588
000100.KS,0.23,0.007513670303976241,0.3601213718628552,0.22810060959641829
000100.KS,0.24000000000000002,0.007745304732997469,0.36187425864235934,0.22913024175410876
000100.KS,0.25,0.007968327373178508,0.36365732417690033,0.23018654122408821
000100.KS,0.26,0.008186126167633263,0.365471811348325,0.23123047319207943
000100.KS,0.27,0.008438771546138917,0.36732649355422914,0.2322150592898805
000100.KS,0.28,0.008633007709933005,0.36923879769099444,0.23320259547145247
000100.KS,0.29000000000000004,0.008861759476056885,0.37125799422037714,0.2340831930367805
000100.KS,0.3,0.009070450999140348,0.3733527598103821,0.23494067809930025
000100.KS,0.31,0.009323636892733245,0.37550339594294396,0.235703936665764
000100.KS,0.32,0.009670663744900979,0.3776262008321486,0.2364871483283037
000100.KS,0.33,0.009984506528987766,0.3794174872923354,0.23743822001980455
000100.KS,0.34,0.010271724043776532,0.38108160653295325,0.23842495426134627
000100.KS,0.35000000000000003,0.010471310629389401,0.3828297352850684,0.2394044756412028
000100.KS,0.36000000000000004,0.010743140135417438,0.38448826432253697,0.24039790107977516
000100.KS,0.37,0.010993153757369721,0.3861888431749959,0.2414075657777289
000100.KS,0.38,0.011215381264187932,0.38795902208368765,0.24238006498443207
000100.KS,0.39,0.011454824637721074,0.3897842838255002,0.24331600835063458
000100.KS,0.4,0.011696036839941621,0.39168517794533125,0.24416124114163287
000100.KS,0.41000000000000003,0.011988740422698894,0.39350167711075534,0.24503430834287557
000100.KS,0.42000000000000004,0.012338883254627534,0.39518628287055013,0.24600331482262597
000100.KS,0.43,0.012609886485265417,0.3966332396133889,0.24707844666473017
000100.KS,0.44,0.01283700311789808,0.3982446631713064,0.24815092071847447
000100.KS,0.45,0.013094295118735909,0.3998237932623852,0.24918050849887344
